Sample	5.0	10.0	15.0	20.0	25.0	30.0	35.0	40.0	45.0	50.0	55.0	60.0	65.0	70.0	75.0	80.0	85.0	90.0	95.0	100.0
104974-001-001_S1_L001	58847.0	80306.0	94440.0	104960.0	113343.0	120477.0	126725.0	132301.0	137145.0	141630.0	145705.0	149593.0	153145.0	156545.0	159621.0	162584.0	165342.0	167919.0	170483.0	172843.0
104974-001-002_S1_L001	60225.0	82445.0	97118.0	107925.0	116654.0	124182.0	130801.0	136604.0	141870.0	146636.0	151114.0	155204.0	158995.0	162473.0	165787.0	168841.0	171741.0	174500.0	177100.0	179542.0
104974-001-003_S1_L001	20408.0	31658.0	40197.0	47035.0	52849.0	57873.0	62271.0	66288.0	69845.0	73143.0	76102.0	78863.0	81352.0	83685.0	85845.0	87922.0	89833.0	91693.0	93380.0	94932.0
104974-001-004_S1_L001	28066.0	42224.0	52443.0	60622.0	67324.0	73021.0	78021.0	82383.0	86454.0	90043.0	93385.0	96382.0	99219.0	101750.0	104132.0	106344.0	108470.0	110446.0	112256.0	113932.0
104974-001-005_S1_L001	6415.0	9557.0	11847.0	13728.0	15396.0	16910.0	18241.0	19461.0	20566.0	21633.0	22588.0	23505.0	24369.0	25204.0	25974.0	26695.0	27375.0	27988.0	28605.0	29130.0
104974-001-006_S1_L001	34522.0	50438.0	61557.0	69946.0	76618.0	82336.0	87314.0	91552.0	95437.0	98887.0	101940.0	104724.0	107317.0	109731.0	111958.0	114006.0	115945.0	117720.0	119410.0	120916.0
104974-001-007_S1_L001	83055.0	110784.0	128639.0	141999.0	152933.0	162433.0	170848.0	178454.0	185331.0	191752.0	197723.0	203192.0	208328.0	213337.0	218040.0	222448.0	226554.0	230468.0	234138.0	237689.0
104974-001-008_S1_L001	67324.0	93053.0	109545.0	121892.0	131888.0	140527.0	147908.0	154624.0	160585.0	165954.0	170872.0	175466.0	179826.0	183792.0	187544.0	191188.0	194484.0	197672.0	200717.0	203539.0
104974-001-009_S1_L001	32087.0	47960.0	59367.0	68341.0	75875.0	82397.0	88173.0	93173.0	97741.0	101831.0	105547.0	109045.0	112214.0	115183.0	117909.0	120404.0	122813.0	124945.0	127046.0	128957.0
104974-001-010_S1_L001	32116.0	47950.0	59347.0	68114.0	75463.0	81715.0	87286.0	92085.0	96441.0	100350.0	104035.0	107280.0	110333.0	113188.0	115903.0	118243.0	120565.0	122689.0	124734.0	126626.0
104974-001-011_S1_L001	17721.0	26221.0	32521.0	37459.0	41733.0	45451.0	48610.0	51513.0	54230.0	56711.0	58979.0	61096.0	63009.0	64794.0	66489.0	68032.0	69576.0	70899.0	72172.0	73432.0
104974-001-012_S1_L001	70801.0	94449.0	109638.0	121174.0	130378.0	138113.0	144739.0	150430.0	155612.0	160104.0	164109.0	167788.0	170971.0	173770.0	176388.0	178709.0	180752.0	182616.0	184266.0	185612.0
104974-001-013_S1_L001	72810.0	98170.0	114853.0	127484.0	137635.0	146187.0	153540.0	159981.0	165681.0	170804.0	175316.0	179355.0	183066.0	186358.0	189380.0	192040.0	194428.0	196459.0	198419.0	200045.0
104974-001-014_S1_L001	30842.0	47230.0	59252.0	68943.0	76850.0	83588.0	89551.0	94740.0	99273.0	103364.0	106989.0	110167.0	112983.0	115519.0	117970.0	120044.0	121943.0	123609.0	124994.0	126243.0
104974-001-015_S1_L001	52651.0	75375.0	90883.0	102633.0	112072.0	119863.0	126541.0	132337.0	137526.0	142052.0	146125.0	149713.0	152937.0	155801.0	158435.0	160832.0	162832.0	164730.0	166378.0	167794.0
104974-001-016_S1_L001	17891.0	27199.0	34352.0	40343.0	45513.0	50056.0	53901.0	57577.0	60713.0	63657.0	66262.0	68720.0	70957.0	72993.0	74830.0	76532.0	77933.0	79283.0	80481.0	81512.0
