Sample	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	151
104974-001-001_S1_L001_1	34064.0	44882.0	43671.0	43116.0	44683.0	45811.0	50770.0	58298.0	66162.0	79972.0	100717.0	122296.0	133673.0	143134.0	167884.0	200346.0	211665.0	230360.0	251549.0	276281.0	294834.0	323100.0	342792.0	373603.0	407009.0	3508164.0	22989669.0
104974-001-001_S1_L001_2	36069.0	38378.0	38076.0	32982.0	41214.0	39104.0	42820.0	52258.0	59726.0	74588.0	92976.0	122962.0	166250.0	187604.0	192682.0	202208.0	213244.0	231716.0	243862.0	269947.0	287755.0	315269.0	338023.0	372779.0	429784.0	3508969.0	22957260.0
104974-001-002_S1_L001_1	45752.0	60569.0	58186.0	56685.0	58783.0	60435.0	69508.0	78951.0	95297.0	141934.0	148749.0	181550.0	200509.0	218317.0	254304.0	296772.0	321853.0	352631.0	385369.0	423506.0	457706.0	499530.0	535860.0	582603.0	644104.0	5222746.0	33446847.0
104974-001-002_S1_L001_2	46606.0	48933.0	50013.0	43910.0	52369.0	53351.0	58881.0	74088.0	87560.0	107901.0	137758.0	178258.0	236967.0	268797.0	282926.0	300946.0	321880.0	350723.0	374670.0	415004.0	448967.0	488966.0	529981.0	581145.0	668709.0	5073382.0	33616365.0
104974-001-003_S1_L001_1	21295.0	30263.0	30204.0	30064.0	46495.0	34546.0	43692.0	54869.0	86805.0	143092.0	123196.0	145189.0	135511.0	127706.0	152409.0	188509.0	179666.0	191499.0	210144.0	224540.0	237403.0	249832.0	264730.0	283020.0	310145.0	2481624.0	15914897.0
104974-001-003_S1_L001_2	22052.0	26622.0	28542.0	26961.0	36347.0	35858.0	42249.0	54086.0	72721.0	95332.0	120858.0	151524.0	167645.0	162953.0	165674.0	167087.0	180437.0	192926.0	201417.0	219375.0	229469.0	242351.0	259583.0	280062.0	320023.0	2228740.0	16210451.0
104974-001-004_S1_L001_1	13988.0	19391.0	19982.0	20685.0	21992.0	22618.0	27600.0	35301.0	44194.0	74941.0	71751.0	84944.0	82688.0	79915.0	95428.0	116943.0	112239.0	119523.0	128234.0	136286.0	142338.0	148116.0	154043.0	164625.0	181940.0	1523907.0	10216761.0
104974-001-004_S1_L001_2	14077.0	17209.0	17403.0	16332.0	22087.0	20944.0	24903.0	33371.0	42382.0	54489.0	68001.0	88875.0	105675.0	108444.0	107654.0	105930.0	114267.0	123030.0	123280.0	132710.0	137407.0	143607.0	150716.0	163283.0	192457.0	1388165.0	10343675.0
104974-001-005_S1_L001_1	17865.0	26243.0	27023.0	27577.0	31634.0	32318.0	44750.0	53880.0	76828.0	106625.0	131000.0	151755.0	146314.0	132960.0	168945.0	197244.0	187775.0	201685.0	225098.0	233158.0	248809.0	259635.0	277077.0	287505.0	325212.0	2299895.0	14754766.0
