Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
104974-001-006_S1_L001_1 - Adapter 1	2807107	747097	289883	98695	63503	49190	42647	48377	46588	44523	47500	45034	44511	43825	44207	44237	52187	43272	35744	42898	43976	39620	42285	40291	40246	37764	39687	37918	39990	42525	30157	37394	36696	40758	30535	35054	37521	30663	34048	30286	34815	29444	33217	25626	30091	28995	39229	17457	27746	26037	28587	23382	27773	22448	22181	22712	23904	19923	22302	24994	20869	18326	16774	19535	17610	17534	16093	27328	21005	26671	19131	16930	1341	2097	7618	10402	11548	11506	11772	11402	12355	11999	10803	9906	41577	9671	8893	8114	7555	7122	7404	7302	6994	6211	5259	4715	4777	4040	4174	3784	4097	4491	4028	3498	3007	2521	2234	2100	2076	2057	1903	2041	2007	1773	1743	1488	1721	1606	1476	1579	1516	1383	1944	1495	1472	1471	1453	1618	1351	1398	1349	1560	1451	1456	1603	1523	1592	1413	1468	1301	1142	1309	1468	1551	1770	3387	3138	7259	7820	60005	49002615
104974-001-006_S1_L001_2 - Adapter 1	2630065	762211	248184	93342	62586	45499	43704	53407	41366	45205	45986	44688	47598	43313	39605	54375	33028	42864	42856	47930	36341	41465	40544	39838	43820	36233	37493	36928	37708	35814	37626	35757	37226	35574	35349	33126	36930	31058	30607	32809	31223	29153	31269	26795	29246	27018	28517	32356	22437	25494	27491	24735	24141	25560	21058	21636	21707	22116	22570	18673	20500	20227	19696	16320	19614	16892	14299	14400	16609	15901	16520	17229	17201	14563	21196	15855	13339	4593	7923	9554	10770	10517	9662	8510	9308	7907	7832	7132	6967	6526	6823	6832	6461	5361	4785	4334	3923	3744	3957	3606	3986	4181	3761	3174	2645	2283	2041	1914	1878	1906	1748	1864	1880	1611	1608	1357	1556	1353	1233	1454	1457	1212	1363	1342	2242	1326	1362	1463	1187	1223	1399	1669	1285	1165	1135	1114	1035	916	967	823	677	656	657	608	659	1038	812	492	397	548	1526
104974-001-007_S1_L001_1 - Adapter 1	13078696	3217082	1223338	426017	251777	171671	157205	180555	168437	158936	189045	204968	218601	203756	192546	184261	210163	150126	143993	179832	186650	160815	193736	183320	185179	166142	200771	182481	166239	154021	128559	132761	133666	141222	121821	126455	140145	136795	126729	108471	129578	128431	121756	114473	125023	103016	152638	47279	89815	90882	96407	74325	99533	73560	75956	87043	96778	73119	85460	88779	71673	57999	50749	79332	69823	60501	54226	117199	81128	93031	47316	38821	4624	9320	27506	42804	49262	47772	41853	37890	36077	36051	34266	36530	51118	45733	44230	51280	43354	40899	32034	28313	27475	23721	23896	21195	20624	18636	17950	19151	20833	17651	16020	14359	12261	11428	10012	8509	8209	6956	6743	6078	6392	5731	7064	5943	7415	6760	8115	6483	6748	6617	8043	7343	15382	6393	9156	6379	6522	6143	6721	7139	6867	4903	5440	5017	4644	4579	5497	3529	4063	2550	2636	2311	2934	3371	3657	4989	7732	39358	14976048
104974-001-007_S1_L001_2 - Adapter 1	14709531	3216420	1101912	381368	279721	170435	167948	203123	149429	172081	178509	211453	238161	205098	178648	195572	174954	137768	187634	191398	152136	175265	181332	181493	199551	172268	201286	170986	162061	154772	144435	131646	131358	136327	126571	127701	137160	170620	140713	205047	146376	123692	126235	114314	108690	104896	111631	116005	77792	88786	97406	84456	86906	86798	80422	87872	80418	87565	88593	68396	71646	71996	72149	69053	95705	61948	55850	56258	75567	75348	54648	55496	51124	50743	76969	70073	59524	17416	26878	32270	32647	33123	31643	34304	38671	44247	43258	49318	42380	40086	31679	28252	27065	23395	23817	20818	20394	18664	17863	19238	21027	17974	16158	13761	11961	10972	9395	8183	7697	6657	6530	6076	6144	5560	6955	5826	7199	6519	7930	6307	6605	6370	7583	6999	15229	6212	8968	6134	6249	5913	6508	6918	6583	4639	5112	4691	4349	4225	5022	3222	3687	2058	2052	1646	2167	1967	1882	1099	1828	1492	2157
104974-001-008_S1_L001_1 - Adapter 1	8139068	1991521	785365	284300	185802	128511	117425	132191	127265	117444	144688	159547	179279	160650	150837	140018	159659	111132	109691	141796	147790	124403	144461	159217	148074	135108	168958	144052	138254	119465	102084	102235	98012	101989	114862	84715	112764	92908	97078	119698	91172	105751	90458	111962	96953	86052	147894	39327	90320	687061	136805	12205	123558	60095	11295	59384	49298	14856	15361	9183	29303	4028	9569	33998	8796	7343	22348	36972	5302	14470	14739	19137	2405	1868	7341	21648	34313	36969	34168	29932	29150	29087	27222	29643	39701	38232	37606	43252	35608	33301	26253	23528	22509	19227	18717	16858	15785	14316	13635	14898	15461	13309	11613	10211	8838	8266	6727	5763	5723	4667	4646	4314	4402	3703	5046	3997	5134	4582	6099	4691	4634	4496	5973	4978	11818	4243	6835	4611	4400	4487	4948	5283	5111	3585	3710	3442	3224	3161	4017	2432	2894	1828	1859	1792	2237	2632	2704	4439	6499	35665	13387155
104974-001-008_S1_L001_2 - Adapter 1	9307280	1944516	660456	246684	209451	127454	124702	159526	98681	128935	136329	166898	194186	163043	141720	149838	132950	103854	144207	152880	120595	139209	144032	143852	171545	139794	163573	144594	128479	118740	119507	98422	107925	108986	97343	101814	117464	132196	117786	140306	119677	118575	95022	91038	91984	81805	90695	96182	56537	69268	77265	67405	68907	67358	62687	69064	64450	69454	67199	54611	56823	57301	58880	55571	78033	51283	45676	46686	64327	61868	45449	45405	41836	41274	64180	59609	52798	14683	22514	25585	26287	26422	24930	27580	31716	36482	36522	41859	34463	31987	25564	23274	21978	18768	18454	16347	15370	14111	13509	14852	15511	13446	11735	9786	8563	7883	6327	5438	5030	4396	4336	4218	4187	3609	4879	3851	5001	4414	5946	4496	4447	4288	5522	4748	11769	4067	6678	4369	4177	4229	4788	5116	4933	3306	3486	3203	3048	2884	3653	2137	2574	1428	1372	1168	1583	1526	1294	786	1382	961	1517
104974-001-009_S1_L001_1 - Adapter 1	10177274	2259562	912230	407053	283647	194209	178595	199052	200368	183479	241531	273059	322930	279134	265594	242818	274294	170786	184139	248601	253000	199432	245113	299911	263485	215428	297307	249762	249080	199848	164270	157229	159137	188056	133973	171954	157900	174475	193600	193533	177446	152754	153742	155628	154291	164205	213216	65521	115298	118715	122637	99255	131397	88161	92009	110104	121810	96629	113715	114765	103220	83320	78996	114721	106241	98405	93631	171765	139120	156533	79975	73711	6375	12774	49814	97145	122614	116767	87230	69074	61598	60287	53422	59710	70605	73233	67123	74180	63394	58288	46207	39350	36320	31429	29391	26584	25239	22084	20783	22535	23030	19467	16313	15013	11906	10955	9120	8585	7480	5900	5317	4277	4384	3574	4977	3379	5412	4508	6720	4118	3871	3407	4731	3806	16363	2563	8339	2710	2406	2433	3525	2111	2778	1622	1970	1594	1674	1360	1920	1096	1293	1030	1032	1132	1664	1854	2078	4218	6122	39588	17344799
104974-001-009_S1_L001_2 - Adapter 1	12715878	1963807	644832	308830	339573	194130	187981	224965	173159	200718	222328	289161	348875	273541	252588	253060	206044	166862	237148	276569	201898	237367	241862	249898	312218	248396	267404	256745	215998	205579	187265	157250	156961	158186	179472	158178	180041	194402	194177	225395	218293	209254	145648	155389	152502	142231	161120	155048	99594	113661	126835	108846	112624	105719	97300	110734	101653	116772	109050	98595	100808	101274	108289	102747	144368	102235	90671	93108	123189	116551	76402	92014	79202	79877	143754	165958	165214	35114	50010	56905	54635	54749	48240	56084	61681	70973	65702	71115	61583	56203	45103	38530	35297	30426	28784	25673	24048	21524	20267	22110	22895	19391	16304	13765	11371	10119	8132	7860	6272	5268	4798	3910	3919	3210	4731	3096	5071	4124	6593	3882	3604	3189	4397	3434	16199	2337	8211	2553	2174	2269	3362	2030	2566	1434	1508	1376	1448	1160	1619	830	1010	645	570	546	1026	614	504	315	652	349	1124
104974-001-010_S1_L001_1 - Adapter 1	10687458	2407535	983576	425591	281647	193520	173016	192484	185829	169588	218153	250878	298728	276198	253675	232805	264485	164148	169039	233663	237171	205168	240221	285923	263880	204402	298723	257628	228425	169350	146031	138542	133823	134770	158908	184004	144884	138508	158628	209467	172973	167320	132956	122117	152403	134676	199324	55784	92593	106058	108665	84415	114411	81209	84689	98096	112061	86964	103775	106045	88124	74062	67646	103556	95445	88564	81734	177879	143503	152926	68529	57892	5899	11880	42157	81915	102735	96672	70451	54706	46834	46893	42357	44224	55186	50408	46933	49409	41902	36829	31004	26798	24058	20051	18474	16737	15174	13224	12924	12765	12726	10845	10079	8356	7218	6270	5988	5974	5494	4031	4094	3000	3501	2442	4541	3097	5053	3797	6681	3738	3803	3056	5223	3382	26697	2387	10689	3290	2387	2220	3257	1734	2369	1537	1797	1631	1434	1099	1606	930	1048	848	834	827	1687	1600	1618	3223	4940	30966	12613025
104974-001-010_S1_L001_2 - Adapter 1	13659536	2059740	610990	293545	335577	191595	181724	218640	155206	186379	200371	264161	333192	256257	246834	259697	165338	182134	218282	255336	207311	234013	240303	238678	299461	243131	285891	255122	208795	169592	176381	131144	133171	136537	163368	161336	165043	168899	185342	203620	197817	178325	153021	131300	145104	123853	146451	141144	83823	99210	115144	94794	100983	95150	88092	95545	93457	106505	93942	89659	93272	91629	97194	89289	134180	92274	80183	91618	131592	127135	75521	89771	70882	67308	123768	137391	125721	28023	40390	44913	41364	42607	38603	41865	45330	48986	45978	47587	40816	35744	30289	26554	23548	19672	18392	16177	14684	12993	12685	12485	12737	10765	10509	7862	7153	5856	5664	5600	4958	3712	3700	2950	3440	2256	4337	2885	4770	3564	6511	3558	3600	2805	4278	3178	26469	2156	10518	3164	2201	2067	3119	1625	2223	1326	1343	1212	1203	885	1362	712	818	523	475	425	1132	591	475	295	607	445	813
