Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
104974-001-011_S1_L001_1 - Adapter 1	9126098	2029177	797975	334476	222019	149087	138949	152593	148218	138785	175134	198164	233699	208893	194687	177114	201802	124530	130621	173072	183049	150217	181766	209726	197728	162108	222044	189510	178744	140068	124781	114691	112692	122789	122624	107075	142007	108980	133881	110974	145702	144607	102789	117685	132512	95469	164661	43749	84193	99529	93708	60768	107949	61179	65889	91318	109193	75285	92515	85923	93501	49336	50407	94336	76047	60734	73186	159907	78831	103069	59916	55985	3883	8125	31099	64901	82922	80150	61600	50539	45192	45746	42180	44434	57358	55941	52502	58293	48404	45771	37345	32430	30791	26700	25466	22474	20811	18720	18193	19776	19158	16499	14512	12818	10213	9048	7813	7321	7147	5051	4952	3762	4036	3067	5202	3383	5600	4188	6877	3901	3792	2923	4672	3136	17420	2184	8073	2268	2047	1715	3083	1083	2069	1311	1934	2029	1241	875	1459	819	836	826	819	1055	1684	1940	2146	5434	7901	56442	24812219
104974-001-011_S1_L001_2 - Adapter 1	11518270	1736004	509598	239089	265292	149145	146659	175372	124599	152432	162347	209809	252642	208379	183560	186220	156272	119527	173696	191911	145197	172778	180380	181949	231683	181640	208141	190013	159380	142827	142675	111325	121186	115468	127575	104530	149511	131244	142854	188462	144958	128399	125736	114566	104647	102190	117726	112146	73076	81643	89599	78482	79492	78490	74483	83766	78337	92234	92681	72465	77193	78134	79526	77214	112539	75390	66255	73435	109657	107042	65347	73222	61606	59636	102059	111330	107604	24899	36718	42082	40487	41927	38777	42626	48084	55118	51923	57030	47489	44639	36560	32202	30085	26043	25131	21793	20264	18556	18005	19625	19378	16476	14773	11888	9624	8535	7270	6772	5512	4672	4509	3499	3800	2744	4836	2959	5051	3729	6630	3611	3599	2723	4207	2865	17271	1984	7968	2151	1856	1563	2932	930	1830	978	991	773	935	602	961	446	541	335	286	314	880	461	213	130	317	174	939
104974-001-012_S1_L001_1 - Adapter 1	6667530	1982084	768229	378301	358047	343254	356408	354697	345201	394316	400160	413450	431891	402001	398677	469801	339000	373225	360194	403479	417164	341968	446432	411875	430654	441760	396672	414406	458170	377854	435009	414397	424134	508378	375448	467001	356063	406216	404392	334597	353224	334708	355900	318678	346186	298823	485897	129478	273302	435047	257278	129212	352340	151151	158381	276343	262892	120758	163694	115869	175349	59352	62584	153547	95130	57084	85039	129607	33107	60635	51103	52618	3371	5273	20702	33841	36909	36373	36247	35459	32319	28616	26883	24481	23625	22634	21633	19729	19095	17160	14494	12581	10600	9702	9164	8793	8337	7881	7058	6299	5176	4292	3494	3280	2758	2680	2637	2516	2189	1857	1395	1167	979	716	615	602	533	456	312	297	245	220	146	128	102	89	84	90	75	64	57	80	61	74	37	83	64	70	91	108	65	118	90	84	115	82	251	302	2464	1053777	13768
104974-001-012_S1_L001_2 - Adapter 1	7480445	2419232	956519	474393	384591	334720	355778	354140	338274	388149	403876	393256	433511	391793	400202	425872	353682	372128	385263	358706	394300	391226	403892	420766	475010	385009	391421	424325	398423	411201	431646	414926	415718	465208	409695	405776	391594	406396	381012	354066	357964	326819	339800	325184	303523	317872	319820	287289	243717	241685	237100	218712	220344	222299	197703	190730	171170	168482	158285	123098	133673	120611	124674	112444	135632	106836	80672	70358	82963	77315	62550	57504	58456	58031	81855	56891	41505	12410	25224	30856	29244	26180	25085	22898	22496	21331	20623	18893	18247	16384	14008	12852	10383	9525	9044	8753	8244	7713	6970	6377	5202	4332	3527	3216	2724	2626	2639	2539	2253	1923	1500	1252	1094	766	702	694	532	489	448	416	258	272	213	184	205	331	184	114	136	165	126	225	90	83	151	103	120	170	195	161	172	381	328	214	281	194	243	406	2751	1048361	13183
104974-001-013_S1_L001_1 - Adapter 1	9151211	2590754	921233	419904	394718	371531	388208	379609	378276	431590	442161	457221	490001	438649	436842	512430	383033	413792	392500	451148	460638	383646	514057	481288	505617	522622	470573	500989	556314	484327	532600	538750	550953	651129	590156	591827	537884	580875	586810	576920	524678	560584	603432	554102	589132	600808	878989	310791	576366	588889	624206	413023	718997	453232	500850	622861	703125	446343	589812	530371	579655	331296	308214	644726	520084	372115	382730	743819	296708	425623	276215	231254	22257	52071	154334	213936	223005	218567	221672	222280	203147	177742	170912	156077	149175	139730	132384	123663	113046	101795	83622	72225	60922	54208	48591	46779	43555	38473	33991	30954	23733	19983	15557	14480	12214	11412	10936	10274	8808	7432	5959	4516	3880	2770	2490	2093	1788	1541	1185	926	766	689	552	385	413	279	253	247	266	175	140	196	146	192	91	95	120	117	104	476	115	187	198	164	249	207	523	645	5395	2165993	139002
104974-001-013_S1_L001_2 - Adapter 1	10567528	3320965	1272362	577101	437429	365370	386988	379789	375447	421155	455166	430213	488346	427416	436020	474587	394612	410699	418153	404929	439020	432460	468697	486161	555105	459622	463493	511981	494784	511132	530943	543549	600287	620375	535622	550453	569205	664484	484310	564870	567536	512014	604345	520717	550268	588430	620448	609401	490104	514002	539518	501959	535316	575520	504035	524876	508016	534538	496608	417907	470265	432281	476133	442933	552039	461617	371672	338993	395827	382196	318245	291527	316749	313230	459345	341558	274083	85734	148364	186225	177657	158691	154065	141781	136948	129294	123507	116161	106786	96281	80507	71504	59215	53060	48032	45120	42324	37377	33115	30736	23993	20085	15513	14150	12020	11177	10958	10239	8904	7622	6013	4660	3950	2797	2626	2267	1833	1657	1400	1153	863	793	653	527	505	613	411	295	327	310	224	385	181	242	219	168	238	286	386	589	316	615	596	511	664	553	770	1067	8323	2154880	135367
104974-001-014_S1_L001_1 - Adapter 1	7327881	2083005	747348	342000	352608	345317	381067	370560	373998	425012	434014	437327	491945	415099	421322	482417	370230	411969	380759	434339	450518	366933	478571	459234	483067	500302	440319	488420	547179	471834	526571	521729	519802	620398	539418	538047	465168	559248	508431	528931	484266	452058	464087	444864	423674	463298	656314	214392	401556	350654	376646	314629	369773	312922	313463	298965	294801	232205	258045	271679	188949	191511	169150	221909	207859	190386	128366	221700	192982	196688	87208	65614	8584	16989	49936	65444	64866	62085	65442	66599	62730	52970	51067	45919	44595	42644	39664	37581	35530	33214	27319	24038	19828	18373	17988	17637	17080	15467	13723	13115	10322	8865	7011	7201	6352	6385	6533	6629	5436	4624	3861	2940	2576	1887	1640	1521	1360	1137	875	675	557	575	404	284	235	192	199	150	152	126	99	89	89	165	55	66	68	58	60	407	114	94	143	166	217	217	629	873	8299	3885564	127223
104974-001-014_S1_L001_2 - Adapter 1	8468396	2932733	1045623	515822	399997	341168	379132	367613	372615	417968	439402	425804	487975	408502	420655	453332	384985	404192	403094	393988	432104	403918	442994	462276	527820	440917	436297	497737	485083	503419	522809	522312	597395	518419	522609	503165	800350	268966	515827	549363	425759	468813	452240	418060	415522	451829	464147	442733	344524	358494	366067	330616	339221	344339	297803	289913	264174	264943	247358	195535	217167	192219	204075	190191	220108	180842	139298	122328	138781	130401	106930	92922	99448	95957	135914	100953	76477	22545	44568	57095	56044	48332	46877	42709	42285	40417	37979	36078	33805	31799	26401	23940	19324	18076	17792	17156	16599	15203	13526	13132	10455	9095	7058	7047	6192	6254	6546	6610	5451	4672	3902	2978	2576	1950	1670	1518	1350	1222	983	796	637	654	439	349	297	268	241	175	174	133	109	119	94	165	95	132	171	228	273	581	302	316	417	630	584	598	675	866	7809	3870888	122328
104974-001-015_S1_L001_1 - Adapter 1	11684882	3323478	1174642	563608	554842	529930	564095	556132	547521	654221	656515	675528	751172	662420	652051	750731	550909	636920	571557	664748	681858	572540	763420	749510	753219	767718	675403	693085	764578	697885	744601	780374	764368	903530	850595	835435	657643	816206	718689	751566	744483	659171	826823	568155	726422	690200	1024945	368460	578003	556071	569307	438027	633048	455141	496895	525147	542166	379774	429680	416830	361048	274585	244776	400764	352735	289855	236175	416562	231983	279417	158714	130368	11797	25578	82190	114817	118749	115790	112502	115142	105121	91498	90668	80510	80653	79113	79634	75113	69947	64773	54146	46418	39752	35329	33164	32479	33292	30458	27470	26635	21056	17248	13752	14111	11794	11354	11599	11182	10602	9080	7067	5650	4760	3544	3091	2784	2332	2176	1627	1406	1210	1218	1069	567	647	366	379	306	323	209	239	292	122	591	121	114	88	97	121	445	113	160	166	178	262	316	862	1241	12850	4741921	402227
104974-001-015_S1_L001_2 - Adapter 1	14188118	4438352	1674286	822594	618181	511318	560513	551213	534458	646425	659447	635686	750382	643554	653430	692228	558966	629666	597719	596779	643783	636863	696132	758260	811063	677182	653406	711357	678481	727661	740589	772026	747409	897660	871323	695395	733427	829900	693129	751195	613674	747050	693657	684105	644838	690115	740237	617860	557544	523229	531998	494871	522130	522995	502311	492852	442811	440003	410053	302958	341679	313738	333212	306905	398830	304803	226268	197790	234591	228933	174433	153433	161723	168926	248085	178891	116121	25968	79483	101328	96242	85202	84937	75438	76289	75325	76288	72385	67770	62999	52999	46194	39087	34829	32693	31981	32694	30005	27148	26530	21070	17290	13614	13904	11678	11157	11532	11113	10558	9041	7114	5611	4824	3522	3093	2771	2347	2201	1722	1547	1273	1265	1020	593	675	449	428	330	325	231	266	340	135	598	130	133	153	185	224	500	234	326	355	406	480	476	652	981	11516	4726384	389860
104974-001-016_S1_L001_1 - Adapter 1	13848165	3882367	1343835	620278	638270	626146	693172	680168	669931	774811	798272	768530	894998	748353	767429	850027	703692	767314	694006	791803	825033	687003	872647	855232	901685	939847	832849	919798	1011874	925202	990885	1016865	1000026	1259408	984862	1204732	903106	1198899	906950	1024137	994188	959311	993334	919562	918484	995344	1440663	446397	880277	882554	908901	591305	952550	666838	678149	750237	832613	521514	665036	604174	577857	358135	322095	651996	495646	358268	316049	652636	273736	349189	199017	146260	21082	45800	121459	163106	161720	153786	162362	165479	155160	131349	126411	113769	110871	106949	101034	95697	91174	83906	68655	60020	50368	47333	44744	44380	42986	39207	35419	33978	26080	22420	17528	18401	16212	16197	16747	16591	14113	12218	10197	7790	6775	5090	4693	3954	3347	2955	2233	1738	1465	1336	1068	587	651	379	381	353	434	221	185	223	162	414	109	101	97	84	93	1434	171	172	209	327	239	320	841	1259	11330	3517137	330674
104974-001-016_S1_L001_2 - Adapter 1	16096588	5492370	1934028	937425	730500	617275	689797	687179	643891	768108	822666	737641	884896	736402	765060	846972	687163	748332	741411	716499	793229	744047	813175	859591	1004240	806191	818439	939158	935331	943602	980800	1034182	1234620	901538	1079032	964966	1046013	1255754	909734	1071992	867920	935027	977504	901260	881965	966848	1006048	939408	784671	792480	806045	736789	766138	800048	676189	684218	614026	628474	579298	468022	517854	458746	493585	455437	545142	435177	340704	296484	343713	324124	262040	223828	241978	229266	322423	246198	228659	80972	107710	135313	131226	114468	111529	101253	100819	97523	92948	88355	84647	78328	65562	59097	48663	46123	44326	42229	41783	38396	34734	34142	26977	23154	17427	17944	15719	15589	16535	16406	14188	12309	10096	7692	6689	5023	4723	4009	3480	3111	2418	1898	1621	1473	1181	707	720	466	461	419	474	252	194	243	181	441	119	174	229	295	366	1625	397	461	587	775	702	851	1201	1509	14471	3497626	321232
