Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
104974-001-001_S1_L001_1	3.619590128609438	2.7558661015532624	3.4766621710539507	3.4573769587878167	2.9877874501277333	2.294401443869434	1.7572934426878055	1.367242855828696	1.0750292957932315	9.573833007439612	2.894459549840485	6.696679693401951	2.4261707159960335	3.722058077517317	0.8664242102253507	51.02912489726784
104974-001-001_S1_L001_2	14.933580676890898	4.699030392963967	5.440271316597004	5.147180636798404	4.126930195343744	3.0217602317938383	2.1287330325318865	1.485198105691832	1.063418905945445	8.128610701333622	2.194411193195809	3.102905863354437	0.6945498954291367	1.0452854282626913	0.49690738626297926	42.291226037604254
104974-001-002_S1_L001_1	3.323490426644768	2.0592974007008955	2.881424922043862	3.5405267401868854	3.693496946546917	3.354278088955673	2.929338325745406	2.4495708434894286	1.944371430842912	15.91321255511049	4.2930544609313674	9.623279018374035	3.913139421363875	6.6833398822241055	1.249917067595779	32.148262469243356
104974-001-002_S1_L001_2	8.667262069037067	3.572404092543644	5.0555384390603	6.112451310879279	6.22836048699818	5.5234463444866	4.600496999776995	3.500021708126201	2.5487010808038266	14.137026657712237	3.1303030047102505	4.95667205851853	1.147061941494588	1.423489132978633	0.5893051381752958	28.80745953469825
104974-001-003_S1_L001_1	1.7557424643579405	0.2952340454486677	0.2743360820389082	0.36992766715085357	0.5321890062376794	0.7613961127019149	1.008728979197425	1.2271039697119812	1.4498531375729393	16.098568949551993	2.4278726454180304	4.486070718546899	1.4001556259685588	2.1108439074496674	0.860886290849375	64.94109039779718
104974-001-003_S1_L001_2	23.869574790238893	2.382782775587574	1.3800004015891334	1.1033529553398351	1.1239634882766885	1.2698887533390066	1.4738486899014274	1.6232637903646454	1.8186139653629574	16.33644098656993	1.382410589808333	1.633901572407419	0.4101500919170619	0.925622588146727	0.5217733658496515	42.74441119530063
104974-001-004_S1_L001_1	1.3567627950909495	1.1122868543694724	1.6013574591402304	1.8371710909368437	1.7492611652832175	1.509071640004388	1.1249862254449907	0.8522139391757949	0.641268360124659	4.485868045379848	1.005923180790663	1.3516508896524235	0.2911871171236398	0.6533825027381734	0.5431977505255945	79.88441098421912
104974-001-004_S1_L001_2	5.342521939660419	1.8225435190543686	2.391912051456851	2.554094281966507	2.358196198630356	1.8544355987845893	1.3297634654972434	0.8951461020684692	0.6152986084317367	2.5990029120027964	0.469040750173233	0.9785698076919376	0.4059595577709103	0.9886438149440346	0.4819370128843202	74.91293437898227
104974-001-005_S1_L001_1	1.5689642845767353	0.20041868510413996	0.12807790599943986	0.10635903990486842	0.09197724144503515	0.09253336084158784	0.10361331990648943	0.12716581407621722	0.13568044800553683	15.367350335953514	3.1768125105849627	5.072673995864978	1.7498815943638575	2.914024755125673	0.9557564148689796	68.20871029337789
104974-001-005_S1_L001_2	28.67734010396171	3.435027780011964	1.826339865063075	1.2267346086375028	0.9442909988195772	0.7911187027565096	0.6890672587106189	0.614636753224909	0.5971842376814377	24.02363044208903	2.96075086710839	3.6453579265111937	0.9794783611856767	2.1794663369187335	1.3206227649871434	26.088952992332224
