Sample	x	y
X104974.001.001_S1_L001	-236.984935708873	63.2227231340938
X104974.001.002_S1_L001	-196.676918930323	72.6327972626335
X104974.001.003_S1_L001	51.4125807730575	83.1282333406268
X104974.001.004_S1_L001	75.4476670120712	69.3172144119658
X104974.001.005_S1_L001	431.979310172703	121.736332114362
X104974.001.006_S1_L001	-245.411363368816	7.70121792932848
X104974.001.007_S1_L001	-222.287785216688	-148.019686346824
X104974.001.008_S1_L001	-180.599689078342	-144.293267448845
X104974.001.009_S1_L001	47.0615974066088	-181.124057626052
X104974.001.010_S1_L001	94.3988416487537	-124.756026158435
X104974.001.011_S1_L001	323.128481424832	-216.976859660727
X104974.001.012_S1_L001	-225.376956749893	75.1275969323268
X104974.001.013_S1_L001	-193.40409645707	86.8447114395069
X104974.001.014_S1_L001	59.9639081019581	87.3947620674898
X104974.001.015_S1_L001	74.5086317821667	81.0867175338124
X104974.001.016_S1_L001	342.840727187854	66.9775910747364
